Revision Date Notification,PCN Number,My Account,Soldto Legal Status,Soldto Name,Soldto Number,Material,Customer Part Number,PCN Type,PCN Change Type,PCN Title,CY-5 QTY,CY-4 QTY,CY-3 QTY,CY-2 QTY,CY-1 QTY,CY QTY,Total QTY
1/7/2020,20191218000,DELTA GROUP,DI,DELTA GROUP,0000005334,SN74LVC32373AZKER,,End of Life,End Of Life,Discontinuance of select MicroStar BGA &amp; MicroStar BGA Jr package devices,,,,,,,0
1/9/2020,20200108000,DELTA GROUP,DI,DELTA GROUP,0000005334,CC2640R2FRSMR,,Informational,Electrical Specification,Datasheet for CC2640R2F,,,,,,,0
1/13/2020,20191213000,DELTA GROUP,DI,DELTA GROUP,0000005334,CSD59973BQ5MC,,Assembly Site,Assembly Site,Qualification of UTAC as an additional AT site for Select Devices,,,,,,,0
1/13/2020,20191213000,DELTA GROUP,DI,DELTA GROUP,0000005334,CSD59972BQ5MC,,Assembly Site,Assembly Site,Qualification of UTAC as an additional AT site for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320DM365ZCE30,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,0,0,0,0,0,0,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320DM368ZCED48F,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320DM369ZCEF,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320F28069PZPQ,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320F28069PZPS,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320DM368ZCE48,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TM4C1294KCPDTI3,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320F28075PZPS,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,0,0,0,0,0,0,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320C6746EZCE3,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,OMAPL138EZCEA3,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,24800,36000,37442,17760,20000,16000,152002
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320DM368ZCEF,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TVP5158PNP,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320F28377SPZPT,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320F28075PZPT,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320DM365ZCE21,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20200109000,DELTA GROUP,DI,DELTA GROUP,0000005334,CC2640R2FRSMR,,Fab Site,Wafer Fab Site,Qualification of DMOS6 as an additional Wafer Fab Site option for select devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320F28075PZPQ,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320F28379SPZPT,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,1800,0,900,1800,90,900,5490
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TM4C1294KCPDTT3,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
1/14/2020,20191212001,DELTA GROUP,DI,DELTA GROUP,0000005334,TMS320DM369ZCEDF,,Packing,Packing/Shipping/Labeling,New Tray for Select Devices,,,,,,,0
